Gene,Guide,Guide+Gene,Ratio
hASCL1x99,CAGE2532g4,CAGE2532.hASCL1x99.g4,0.85
hASCL1x99,CAGE2532g7,CAGE2532.hASCL1x99.g7,0.85
hASCL1x6_2gRNA,CAGE2532g4,CAGE2532.hASCL1x6_2gRNA.g4,0.32
hASCL1x6_2gRNA,CAGE2532g4,CAGE2532.hASCL1x6_2gRNA.g4,0.32
hASCL1x99_2gRNA,CAGE2532g4,CAGE2532.hASCL1x99_2gRNA.g4,0.83
hASCL1x99_2gRNA,CAGE2532g4,CAGE2532.hASCL1x99_2gRNA.g4,0.83
hFOXG1x6,CAGE2543g2,CAGE2543.hFOXG1x6.g2,0.95
hGATAD2Bx6_4gRNA,CAGE2536g21,CAGE2536.hGATAD2Bx6_4gRNA.g21,1.02
hGATAD2Bx99_4gRNA,CAGE2536g21,CAGE2536.hGATAD2Bx99_4gRNA.g21,0.96
hJUNx6,CAGE2544g1,CAGE2544.hJUNx6.g1,1.09
hJUNx6,CAGE2545g3,CAGE2545.hJUNx6.g3,0.98
hJUNx99,CAGE2544g1,CAGE2544.hJUNx99.g1,1
hJUNx99,CAGE2545g3,CAGE2545.hJUNx99.g3,1
hMBD3x6,CAGE2538g2,CAGE2538.hMBD3x6.g2,1.08
hMBD3x6,CAGE2539g1,CAGE2539.hMBD3x6.g1,0.93
hMBD3x6_4gRNA,CAGE2539g1,CAGE2539.hMBD3x6_4gRNA.g1,1.55
hMBD3x99,CAGE2538g2,CAGE2538.hMBD3x99.g2,0.88
hMBD3x99,CAGE2539g1,CAGE2539.hMBD3x99.g1,0.78
hMBD3x99_4gRNA,CAGE2539g1,CAGE2539.hMBD3x99_4gRNA.g1,0.72
hMTA1x6_4gRNA,CAGE2527g1,CAGE2527.hMTA1x6_4gRNA.g1,1.14
hMTA1x99_4gRNA,CAGE2527g1,CAGE2527.hMTA1x99_4gRNA.g1,0.94
hMTA2x6_4gRNA,CAGE2537g7,CAGE2537.hMTA2x6_4gRNA.g7,0.94
hMTA2x99_4gRNA,CAGE2537g7,CAGE2537.hMTA2x99_4gRNA.g7,0.69
hNPAS3x6,CAGE2540g1,CAGE2540.hNPAS3x6.g1,1.49
hNPAS3x6,CAGE2541g2,CAGE2541.hNPAS3x6.g2,0.99
hNPAS3x99,CAGE2540g1,CAGE2540.hNPAS3x99.g1,1.06
hNPAS3x99,CAGE2541g2,CAGE2541.hNPAS3x99.g2,0.95
hPPP1R12Cx6,RB20g2,RB20.hPPP1R12Cx6.g2,1.02
hPPP1R12Cx99,RB20g2,RB20.hPPP1R12Cx99.g2,1.01
hPSMD12x6,CAGE1429g1,CAGE1429.hPSMD12x6.g1,0.65
hPSMD12x99,CAGE1429g1,CAGE1429.hPSMD12x99.g1,0.53
hRARAx6,CAGE2546g1,CAGE2546.hRARAx6.g1,1.09
hRARAx6,CAGE2554g4,CAGE2554.hRARAx6.g4,1.04
hSOX11x6,CAGE2529g3,CAGE2529.hSOX11x6.g3,1.06
hSOX11x6,CAGE2529g2,CAGE2529.hSOX11x6.g2,1.09
hSOX2x6,CAGE2549g10,CAGE2549.hSOX2x6.g10,0.17
hSOX2x6,CAGE2549g20,CAGE2549.hSOX2x6.g20,0.65
hSOX2x6_2gRNA,CAGE2549g10,CAGE2549.hSOX2x6_2gRNA.g10,0.38
hSOX2x99,CAGE2549g10,CAGE2549.hSOX2x99.g10,0.55
hSOX2x99,CAGE2549g20,CAGE2549.hSOX2x99.g20,0.93
hSOX2x99,CAGE2549g10,CAGE2549.hSOX2x99.g10,0.53
hSOX2x99_2gRNA,CAGE2549g10,CAGE2549.hSOX2x99_2gRNA.g10,0.53
hSOX5x99,CAGE2570g2,CAGE2570.hSOX5x99.g2,0.97
hSOX5x99,CAGE2571g9,CAGE2571.hSOX5x99.g9,1.09
hSOX9x6,CAGE2548g19,CAGE2548.hSOX9x6.g19,0.96
hSOX9x6,CAGE2548g36,CAGE2548.hSOX9x6.g36,0.81
