Gene,Guide,Ratio
hASCL1x6_2gRNA,CAGE2532g4,0.32
hASCL1x6_2gRNA,CAGE2532g4,0.32
hASCL1x99,CAGE2532g4,0.85
hASCL1x99,CAGE2532g7,0.85
hASCL1x99_2gRNA,CAGE2532g4,0.83
hASCL1x99_2gRNA,CAGE2532g4,0.83
hFOXG1x6,CAGE2543g2,0.95
hFOXG1x6,CAGE2542g16,0.89
hGATAD2Bx6_4gRNA,CAGE2536g21,1.02
hGATAD2Bx99_4gRNA,CAGE2536g21,0.96
hJUNx6,CAGE2544g1,1.09
hJUNx6,CAGE2545g3,0.98
hJUNx99,CAGE2544g1,1
hJUNx99,CAGE2545g3,1
hMBD3x6,CAGE2538g2,1.08
hMBD3x6,CAGE2539g1,0.93
hMBD3x6_4gRNA,CAGE2539g1,1.55
hMBD3x99,CAGE2538g2,0.88
hMBD3x99,CAGE2539g1,0.78
hMBD3x99_4gRNA,CAGE2539g1,0.72
hMTA1x6_4gRNA,CAGE2527g1,1.14
hMTA1x99_4gRNA,CAGE2527g1,0.94
hMTA2x6_4gRNA,CAGE2537g7,0.94
hMTA2x99_4gRNA,CAGE2537g7,0.69
hNPAS3x6,CAGE2540g1,1.49
hNPAS3x6,CAGE2541g2,0.99
hNPAS3x99,CAGE2540g1,1.06
hNPAS3x99,CAGE2541g2,0.95
hPPP1R12Cx6,RB20g2,1.02
hPPP1R12Cx99,RB20g2,1.01
hPSMD12x6,CAGE1429g1,0.65
hPSMD12x99,CAGE1429g1,0.53
hRARAx6,CAGE2546g1,1.09
hRARAx6,CAGE2554g4,1.04
hSOX11x6,CAGE2529g3,1.06
hSOX11x6,CAGE2529g2,1.09
hSOX2x6,CAGE2549g10,0.17
hSOX2x6,CAGE2549g20,0.65
hSOX2x6_2gRNA,CAGE2549g10,0.38
hSOX2x99,CAGE2549g10,0.55
hSOX2x99,CAGE2549g20,0.93
hSOX2x99,CAGE2549g10,0.53
hSOX2x99_2gRNA,CAGE2549g10,0.53
hSOX5x99,CAGE2570g2,0.97
hSOX5x99,CAGE2571g9,1.09
hSOX9x6,CAGE2548g19,0.96
hSOX9x6,CAGE2548g36,0.81
