Project Name,NGS Date,Comparison Groups
CAGE3525,10725,GIMEN-g14
CAGE3525,10725,GIMEN-g5
CAGE3525,10725,GIMEN-g6
CAGE3525,10725,TTC642-g14
CAGE3525,10725,TTC642-g5
CAGE3525,10725,TTC642-g6
CAGE3525,10725,KD-g14
CAGE3525,10725,KD-g5
CAGE3525,10725,KD-g6
CAGE3525,10725,G402-g14
CAGE3525,10725,G402-g5
CAGE3525,10725,G402-g6
CAGE3526,10725,GIMEN-g19
CAGE3526,10725,TTC642-g19
CAGE3526,10725,KD-g19
CAGE3526,10725,G402-g19
CAGE3721,10725,GIMEN-g4
CAGE3721,10725,GIMEN-g6
CAGE3721,10725,TTC642-g4
CAGE3721,11625,TTC642-g6
CAGE3721,10725,KD-g4
CAGE3721,10725,KD-g6
CAGE3721,10725,G402-g4
CAGE3721,10725,G402-g6
CAGE3525,12825,GIMEN-g10
CAGE3525,12825,GIMEN-g13
CAGE3525,12825,TTC642-g10
CAGE3525,12825,TTC642-g13
CAGE3525,12825,KD-g10
CAGE3525,12825,KD-g13
CAGE3525,12825,G402-g10
CAGE3525,12825,G402-g13
